,tamanho,tempo,descricao,interacoes,reviews,state
403,1,194658.0,2031,3,1,MERGED
404,7,346702.0,2149,3,3,MERGED
405,1,740674.0,2165,0,1,MERGED
406,1,416239.0,1667,2,1,MERGED
407,14,258415.0,1714,1,2,MERGED
408,6,8152037.0,2221,8,2,MERGED
409,1,611665.0,1984,3,1,MERGED
410,1,6159910.0,2014,7,1,MERGED
411,1,17030.0,442,1,1,CLOSED
412,1,148968.0,2121,4,1,MERGED
413,1,438450.0,1690,9,6,MERGED
414,2,38082.0,0,3,1,MERGED
415,1,325923.0,1726,9,4,MERGED
416,1,83852.0,0,0,1,MERGED
417,1,65113.0,2099,0,1,MERGED
418,3,231256.0,88,2,1,MERGED
419,1,56988.0,1879,3,3,MERGED
420,1,39767.0,2252,1,1,MERGED
421,1,4706835.0,2120,2,2,MERGED
422,17,147123.0,685,1,1,MERGED
423,1,4475964.0,2059,1,3,CLOSED
424,1,8008453.0,2518,19,10,MERGED
425,1,8004838.0,2268,10,11,CLOSED
426,1,1039015.0,2026,6,3,MERGED
427,1,956129.0,1980,4,2,MERGED
428,1,446129.0,3031,14,25,MERGED
429,1,284850.0,2139,4,1,MERGED
430,2,70779.0,98,7,1,MERGED
431,1,152846.0,2104,4,3,MERGED
432,7,521541.0,1945,18,6,MERGED
433,1,49222.0,2051,0,1,MERGED
434,1,6057637.0,2041,17,5,MERGED
435,1,1986360.0,1978,12,4,MERGED
436,1,36724.0,1940,2,1,MERGED
437,15,1589307.0,71,7,2,MERGED
438,2,264498.0,2218,1,2,MERGED
439,1,1883514.0,2380,3,5,MERGED
440,3,1129656.0,2205,6,2,MERGED
441,1,915324.0,6099,3,2,CLOSED
442,1,1994291.0,924,5,4,MERGED
443,1,9529880.0,1032,6,1,CLOSED
444,3,613416.0,1322,5,6,MERGED
445,40,532427.0,1104,4,2,MERGED
446,1,4117949.0,50,2,1,CLOSED
447,1,310952.0,2251,6,2,MERGED
448,1,5241726.0,2352,11,4,MERGED
449,1,63629.0,1929,3,3,MERGED
450,1,38981.0,2000,1,1,MERGED
451,2,331826.0,2647,17,4,MERGED
452,1,2053289.0,1991,7,1,MERGED
453,1,241291.0,2290,1,4,CLOSED
454,1,221079.0,2011,1,1,MERGED
455,3,1423759.0,294,2,1,MERGED
456,2,8099033.0,2228,2,3,CLOSED
457,1,2495868.0,2054,9,1,CLOSED
458,1,130436.0,2060,7,2,MERGED
459,1,1333105.0,1838,4,2,MERGED
460,1,1839948.0,1620,1,1,MERGED
461,2,123188.0,1163,6,2,MERGED
462,1,232748.0,167,1,6,MERGED
463,2,336248.0,2043,10,3,MERGED
464,1,443155.0,1904,8,6,MERGED
465,1,1436262.0,2459,0,1,MERGED
466,2,125208.0,2166,10,1,MERGED
467,1,246942.0,1948,0,1,MERGED
468,2,5023277.0,2471,1,1,CLOSED
469,1,643637.0,1972,1,3,MERGED
470,1,6703017.0,1978,5,2,MERGED
471,7,3419324.0,436,5,2,MERGED
472,1,3254962.0,1926,1,1,CLOSED
473,1,577938.0,1926,0,2,MERGED
474,1,667034.0,1926,0,1,MERGED
475,1,574435.0,1926,0,1,MERGED
476,2,1064325.0,2045,29,9,MERGED
477,1,200164.0,2070,1,1,MERGED
478,1,12824.0,1927,4,2,CLOSED
479,1,10292.0,1926,3,1,CLOSED
480,1,4592.0,2007,0,1,MERGED
481,1,6822443.0,1926,9,2,MERGED
482,2,678007.0,2342,4,1,MERGED
483,1,86906.0,2036,6,1,MERGED
484,2,3739646.0,2007,0,1,MERGED
485,3,4256745.0,1433,6,1,CLOSED
486,1,3493765.0,207,2,1,MERGED
487,1,3903766.0,2006,7,2,MERGED
488,1,5226502.0,25965,9,2,MERGED
489,1,341259.0,1636,3,1,MERGED
490,1,112359.0,1078,0,1,MERGED
491,1,18677.0,2145,2,1,MERGED
492,11,1179463.0,6715,114,1,CLOSED
493,1,573762.0,2132,1,1,MERGED
494,6,118535.0,17,4,1,MERGED
495,6,5298.0,43,3,2,MERGED
496,1,29814.0,2020,0,1,MERGED
497,1,3986.0,2094,4,2,MERGED
498,4,68111.0,2134,13,1,MERGED
499,1,19748.0,2099,0,1,MERGED
500,1,16351.0,1924,0,1,MERGED
501,1,103978.0,2237,1,2,MERGED
502,1,22010.0,2094,6,1,MERGED
503,1,10847.0,1319,4,1,CLOSED
504,29,773723.0,13,7,2,MERGED
505,30,2056339.0,14,9,10,CLOSED
506,21,159216.0,13,3,3,MERGED
507,1,527951.0,1629,3,2,MERGED
508,4,423923.0,1926,1,1,MERGED
509,1,506217.0,2147,10,3,MERGED
510,3,52341.0,2232,2,4,MERGED
511,9,674888.0,2537,15,16,CLOSED
512,2,67814.0,14,2,1,MERGED
513,3,213429.0,3527,5,6,MERGED
514,4,95280.0,2227,7,2,MERGED
515,1,305575.0,113,1,1,MERGED
516,1,70778.0,2080,0,1,MERGED
517,1,106478.0,2083,2,8,MERGED
518,1,61107.0,2056,13,3,MERGED
519,1,31409.0,2343,4,3,MERGED
520,9,484309.0,81,2,1,MERGED
521,1,1273214.0,2072,11,3,CLOSED
522,1,1807021.0,2281,6,2,MERGED
523,23,583095.0,331,27,3,MERGED
524,1,445280.0,1949,2,2,MERGED
525,1,1687868.0,2321,3,2,MERGED
526,1,510959.0,1031,0,1,MERGED
527,2,30915.0,1942,3,1,CLOSED
528,1,51160.0,1786,3,8,MERGED
529,1,151485.0,1943,8,3,MERGED
530,1,48655.0,2060,1,1,MERGED
